title,authors,year,source
Urinary Nephrin and Podocalyxin Levels as Predictors of Pre-eclampsia in High-Risk Pregnant Women,Kostovska I.,2021,Folia medica
"The first wave of the COVID-19 pandemic in Southern Hungary: Epidemiology, symptoms and signs",Palásti P.,2021,IMAGING
Diagnostic and prognostic potential of kallistatin in assessment of liver parenchyma changes in patients with non-Alcoholic fatty liver disease and hypertension kallistatin in patients with NAFLD and hypertension,Zhelezniakova N.M.,2021,IMAGING
Influence of Resting Blood Pressure on Functional Fitness: An Experimental Study Comparing Hypertensive and Normotensive Older Women,Cardozo D.C.,2021,European Journal of Human Movement
Added predictive value of right ventricular ejection fraction compared with conventional echocardiographic measurements in patients who underwent diverse cardiovascular procedures,Tolvaj M.,2021,IMAGING
Depression among predictors of intermittent claudication: A cross-sectional study,Tóth-Vajna G.,2021,Physiology International
The use of near-infrared spectroscopy for the evaluation of a 4-week rehabilitation program in patients with COPD,Szucs B.,2021,Physiology International
CLINICAL AND LABORATORY CHARACTERISTICS AND OUTCOME OF COVID-19 PATIENTS ADMITTED TO THE ISOLATION WARD OF A PUBLIC SECTOR HOSPITAL,Ismail S.,2021,Journal of Postgraduate Medical Institute
Role of systemic inflammatory markers (biomarkers) as important prognostic factors for survival in head and neck cancer,Das S.M.,2021,Biomedicine (India)
CURATIVE BENEFIT OF SUBMUCOPERICHONDRIAL RESECTION OPERATION ON PULMONARY ARTERIAL HYPERTENSION IN PATIENTS OF DEVIATED NASAL SEPTUM,Sheikh N.A.,2021,Pakistan Armed Forces Medical Journal
MALNUTRITION IN CHRONIC KIDNEY DISEASE PATIENTS-A STUDY AT A TERTIARY CARE HOSPITAL,Muhammad S.,2021,Journal of Medical Sciences (Peshawar)
Atrial fibrillation is related to higher mortality in COVID-19/SARS-CoV-2 pneumonia infection,Denegri A.,2021,Cardiology Journal
Transfermoral transcatheter aortic valve implantation using self-expanding Allegra bioprosthesis: One-year single-center outcomes,Milan J.,2021,Cardiology Journal
P2Y<inf>12</inf> inhibitor monotherapy in complex percutaneous coronary intervention: A post-hoc analysis of SMART-CHOICE randomized clinical trial,Roh J.W.,2021,Cardiology Journal
Troponin T in COVID-19 hospitalized patients: Kinetics matter,Luchian M.L.,2021,Cardiology Journal
Successful treatment of severe COVID-19 pneumonia with tocilizumab: A series of three cases,Chochoł-Labun J.,2021,Cardiology Journal
Antiplatelet effects of prostacyclin analogues: Which one to choose in case of thrombosis or bleeding?,Rogula S.P.,2021,Cardiology Journal
Stroke volume and cardiac output non-invasive monitoring based on brachial oscillometry-derived pulse contour analysis: Explanatory variables and reference intervals throughout life (3–88 years),Zócalo Y.,2021,Cardiology Journal
Selected matrix metalloproteinases activity and hypertension-mediated organ damage in relation to uric acid serum level,Gruszka K.,2021,Cardiology Journal
Patient counselling service with the use of pictograms as the example of pharmacist intervention to improving compliance and medicine safety,Merks P.,2021,Cardiology Journal
Non-vitamin K antagonist oral anticoagulants in patients with atrial fibrillation in secondary stroke and systemic embolism prevention,Gorczyca I.,2021,Cardiology Journal
The influence of high-density lipoprotein cholesterol on maximal lipid core burden indexing thin cap fibrous atheroma lesions as assessed by near infrared spectroscopy,Dobrolińska M.M.,2021,Cardiology Journal
Assessment of the conventional radial artery with optical coherent tomography after the snuffbox approach,Kim Y.,2021,Cardiology Journal
Perioperative approach to precapillary pulmonary hypertension in non-cardiac non-obstetric surgery,Bandyopadhyay D.,2021,European Respiratory Review
Some take-home messages from the 9th International Meeting on Pulmonary Rare Diseases and Orphan Drugs,Harari S.,2021,European Respiratory Review
Smouldering fire or conflagration? An illustrated update on the concept of inflammation in pulmonary arterial hypertension,Perros F.,2021,European Respiratory Review
Acute amiodarone interstitial toxicity presenting as unilateral pneumonitis,Chen J.,2021,BMJ Case Reports
Secondary oxalate nephropathy in an athletic woman with a duplex collecting system and ureteral fibrosis,Bui A.,2021,BMJ Case Reports
Cardiopulmonary exercise testing in interstitial lung diseases and the value of ventilatory efficiency,Gille T.,2021,European Respiratory Review
Preliminary Studies on the Antihypertensive Effect of Polyphenols from Aronia Melanocarpa Based on Intestinal Flora,Chen X.,2021,Journal of Chinese Institute of Food Science and Technology
Sex and gender in lung health and disease: More than just Xs and Ys,Weatherald J.,2021,European Respiratory Review
Sex and gender in pulmonary arterial hypertension,Cheron C.,2021,European Respiratory Review
Mechanical thrombectomy for acute ischaemic stroke during therapeutic anticoagulation: Long-term outcomes,Nowak K.,2021,Neurologia i Neurochirurgia Polska
Could autonomic nervous system parameters be still helpful in identifying patients with left ventricular systolic dysfunction at the highest risk of all-cause mortality?,Kaufmann D.,2021,Cardiology Journal
The pregnancy outcomes in women with gestational diabetes mellitus in one-day outpatient management with or without nutrition specialist involvement: a propensity score matching study,Zhong Y.,2021,Chinese Journal of Clinical Nutrition
"Guidelines on the prevention and treatment of venous thromboembolism in cancer patients treated surgically, including patients under 18 years of age",Krasiński Z.,2021,Acta Angiologica
A Rare Cause of Gastric Variceal Bleeding,Ramos Y.,2021,Case Reports in Gastroenterology
HEALTH MONITORING OF TYPE 2 DIABETIC PATIENTS CURED OF COVID-19 INFECTION IN DJIBOUTI AND MOROCCO: BIOMEDICAL ANALYSIS AND DIAGNOSTIC,Mohamed Abdoul-Latif F.,2021,Pharmacologyonline
LIPID DISODERS IN HYPERTENSIVE PATIENTS WITH DIASTOLIC DYSFUNCTION AND ASYMPTOMATIC HYPERURICEMIA,Kotsiuba O.,2021,Pharmacologyonline
COMPARATIVE ANALYSIS OF CONSUMER CHARACTERISTICS OF VALSARTAN-CONTAINING PHARMACEUTICAL PRODUCTS IN TERMS OF ASYMMETRIC INFORMATION,Unhurian L.,2021,Pharmacologyonline
Clinical Value of Ultrasound in Evaluating Stent Placement for Managing Graft Stenosis after Meso-rex Bypass,Xie X.,2021,Acta Academiae Medicinae Sinicae
CFTR deficiency aggravates Ang II induced vasoconstriction and hypertension by regulating Ca<sup>2+</sup> influx and RhoA/Rock pathway in VSMCs,Zhao L.,2021,Frontiers in Bioscience - Landmark
Leiomyosarcoma in adrenal gland,Dymek P.,2021,Endokrynologia Polska
