title,authors,year,source
The use of pacemaker diagnostics for supporting the anticoagulation treatment management,Korpas D.,2020,Lekar a Technika
"Treatment of pregnancy-induced hypertension compared with labetalol, low dose aspirin and placebo",Xiang X.,2020,Cellular and Molecular Biology
"Cancer presentation patterns in Lagos, Nigeria: Experience from a private cancer center",Fapohunda A.,2020,Journal of Public Health in Africa
"COVID-19 autopsy reports from the ga-east municipal and the 37 military hospitals in Accra, Ghana",Attoh S.,2020,Ghana Medical Journal
"Clinical characteristics of COVID-19 patients admitted at the korle-bu teaching hospital, Accra, Ghana",Adjei P.,2020,Ghana Medical Journal
Profile and outcomes of hospitalized patients with COVID-19 at a tertiary institution hospital in Ghana,Ayisi-Boateng N.K.,2020,Ghana Medical Journal
Study of the expression of genes associated with post-translational changes in histones in the internal thoracic artery and the saphenous vein grafts used in coronary artery bypass grafting procedure,Kałuzna S.,2020,Medical Journal of Cell Biology
Botulinum toxin in the treatment of intestinal pseudo-obstruction following a stroke,Nowak P.,2020,Neurologia i Neurochirurgia Polska
Success rate of endoscopic sphenopalatine artery ligation for the management of refractory posterior epistaxis patients in a tertiary care hospital: A descriptive cross-sectional study,Basnet M.,2020,Journal of the Nepal Medical Association
Psychiatric morbidities in patients with non-communicable diseases among inpatients of medicine department in a tertiary care hospital: A descriptive cross-sectional study,Sharma K.,2020,Journal of the Nepal Medical Association
Clinical features and laboratory characteristics of patients hospitalized with COVID-19: Single centre report from Egypt,Kassas M.E.,2020,Journal of Infection in Developing Countries
Enterococcus hirae as a cause of bacteremic urinary tract infection: First case report from Turkey,Bilek H.C.,2020,Journal of Infection in Developing Countries
Long-term application of hydroxychloroquine could not prevent the infection of COVID-19,Zhu Y.,2020,Journal of Infection in Developing Countries
Arterial elementary calciu m sign a ling i n aging,Kassmann M.,2020,Aging
"Clinical pattern and predictors of stroke treatment outcome among hospitalised patients who had a stroke at Felege Hiwot comprehensive specialised hospital, northwest Ethiopia: A retrospective cross-sectional study",Kefale B.,2020,BMJ Open
Hafnia alvei pneumonia: A rare cause of infection in the multimorbid or immunocompromised,Begbey A.,2020,BMJ Case Reports
Diagnostic accuracy of adrenal imaging for subtype diagnosis in primary aldosteronism: Systematic review and meta-analysis,Zhou Y.,2020,BMJ Open
Impact of the 2017 ACC/AHA guideline on the prevalence of elevated blood pressure and hypertension: A cross-sectional analysis of 10 799 individuals,Alyabsi M.,2020,BMJ Open
Pre-eclampsia complicated by severe hyponatraemia,Montebello A.,2020,BMJ Case Reports
Remote monitoring of marginalised populations affected by COVID-19: A retrospective review,Ko S.Q.,2020,BMJ Open
Myxoedematous tamponade as initial presentation of Hashimoto's thyroiditis,Casez B.,2020,BMJ Case Reports
"Scale-up integrated care for diabetes and hypertension in Cambodia, Slovenia and Belgium (SCUBY): a study design for a quasi-experimental multiple case study",van Olmen J.,2020,Global Health Action
"Out-of-pocket expenditure for hypertension care: a population-based study in low-income urban Medellin, Colombia",Londoño Agudelo E.,2020,Global Health Action
Lessons learned about co-creation: developing a complex intervention in rural Peru,Lazo-Porras M.,2020,Global Health Action
Evaluation of an integrated HIV and hypertension management model in rural south africa: a mixed methods approach,Ameh S.,2020,Global Health Action
"Are people most in need utilising health facilities in post-conflict settings? A cross-sectional study from South Kivu, eastern DR Congo",Malembaka E.B.,2020,Global Health Action
Emerging evidence on the association between COVID-19 and Type 2 Diabetes,Bibi N.,2020,"Romanian Journal of Diabetes, Nutrition and Metabolic Diseases"
A 65-years-old woman with past history of diabetes mellitus experiences sudden acute onset of psychosis,Batra M.,2020,"Romanian Journal of Diabetes, Nutrition and Metabolic Diseases"
Inherited or acquired in hypertension and chronic kidney disease in diabetes mellitus patients,Marilena S.,2020,"Romanian Journal of Diabetes, Nutrition and Metabolic Diseases"
Natural plants as the source of effective antihypertensive agents-a review,Parvez A.,2020,Pharmacologyonline
Prediction of mortality in hypertensive covid-19 patients receiving renin angiotensin aldosterone-based therapy: An evidence-based case report,Putera A.M.,2020,Pharmacologyonline
Persistent itching associated to silodosin in an elderly patient: Implications for drug-drug interactions and pharmacogenetics,Carmine S.,2020,Pharmacologyonline
Relationship between Circadian Rhythm Disorder of Blood Pressure and Ischemic Stroke,Ge J.,2020,Zhongguo yi xue ke xue yuan xue bao. Acta Academiae Medicinae Sinicae
Cerebrovascular pathology in Alzheimer's disease: Hopes and gaps,Badji A.,2020,Psychiatry Research - Neuroimaging
