title,authors,year,source
Predictive value of gut microbiota in long-term blood pressure control: a cross-sectional study,Kang G.,2023,European Journal of Medical Research
Parity and hypertension risk in couples: does number of parity matter: findings from Tehran Lipid and Glucose Study,Rahmati M.,2023,BMC Public Health
The association between tea consumption and blood pressure in the adult population in Southwest China,Zhao Y.,2023,BMC Public Health
How does HbA1c predict mortality and readmission in patients with heart failure? A protocol for systematic review and meta-analysis,Xu J.P.,2023,Systematic Reviews
Effects of music therapy as an alternative treatment on depression in children and adolescents with ADHD by activating serotonin and improving stress coping ability,Park J.I.,2023,BMC Complementary Medicine and Therapies
Surgical bleeding in patients undergoing posterior lumbar inter-body fusion surgery: a randomized clinical trial evaluating the effect of two mechanical ventilation mode types,Hajijafari M.,2023,European Journal of Medical Research
Risk of subclinical atherosclerosis across metabolic transition in individuals with or without fatty liver disease: a prospective cohort study,Xin Z.,2023,Nutrition and Metabolism
Interaction of hemorphins with ACE homologs,Jobe A.,2023,Scientific Reports
"Safety, Feasibility, and Acceptability of Telemedicine for Hypertension in Primary Care: A Proof-of-concept and Pilot Randomized Controlled Trial (SATE-HT)",Wang S.,2023,Journal of Medical Systems
A 50-year-old refugee woman with a lithopedion and a lifetime of trauma: a case report,Sous W.,2023,BMC Women's Health
Clinical characteristics and sequelae of intrapartum hypertension – a retrospective cohort study,Rajkumar T.,2023,BMC Pregnancy and Childbirth
Effects of dandelion root on rat heart function and oxidative status,Radoman K.,2023,BMC Complementary Medicine and Therapies
Genetic variation in salt taste receptors impact salt intake and blood pressure,Mohammadifard N.,2023,Scientific Reports
Effect of olmesartan and amlodipine on serum angiotensin-(1–7) levels and kidney and vascular function in patients with type 2 diabetes and hypertension,Kim K.,2023,Diabetology and Metabolic Syndrome
Management of PDA device closure complicated by severe hemolysis by transcatheter retrieval and deployment of new device,Rashid A.,2023,Egyptian Heart Journal
Different associations of general and abdominal obesity with upper and lower extremity artery disease among a community population in China,Wang Y.,2023,Nutrition and Metabolism
Central retinal microvasculature damage is associated with orthostatic hypotension in Parkinson’s disease,Ahn J.H.,2023,npj Parkinson's Disease
Peripheral artery disease in patients with schizophrenia as compared to controls,Jørgensen L.R.,2023,BMC Cardiovascular Disorders
Weight-dependent and weight-independent effects of dulaglutide on blood pressure in patients with type 2 diabetes,Ferdinand K.C.,2023,Cardiovascular Diabetology
Evaluation of early arterial wall lesions by elastography parameters in spontaneously hypertensive rats,Liu J.,2023,BMC Cardiovascular Disorders
Primary diffuse Rosai-Dorfman disease in central airway: a case report and literature review,Wu L.,2023,BMC Pulmonary Medicine
Associations of genetic markers of diabetes mellitus with carotid atherosclerosis: a community-based case–control study,Wu T.W.,2023,Cardiovascular Diabetology
The vascular function effects of adding exenatide or meal insulin to basal insulin therapy in early type 2 diabetes,Retnakaran R.,2023,Cardiovascular Diabetology
"The quality of vital signs measurements and value preferences in electronic medical records varies by hospital, specialty, and patient demographics",Jackson N.,2023,Scientific Reports
"Correspondence to the article by Wang et al., “Association between blood pressure and the risk of biopsy-induced endobronchial hemorrhage during bronchoscopy”",Govindasaami V.,2023,BMC Pulmonary Medicine
A novel clinical diagnostic marker predicting the relationship between visceral adiposity and renal function evaluated by estimated glomerular filtration rate (eGFR) in the Chinese physical examination population,Xu Y.,2023,Lipids in Health and Disease
Epigenome-wide association study in Chinese monozygotic twins identifies DNA methylation loci associated with blood pressure,Wang W.,2023,Clinical Epigenetics
"Significance of pulse pressure variability in predicting functional outcome in acute ischemic stroke: a retrospective, single-center, observational cohort study",Kamieniarz-Mędrygał M.,2023,Scientific Reports
An abrupt decrease in arterial blood pressure may predict a high level carbon dioxide embolism in retroperitoneoscopic surgery: case report and a literature review,Wang J.,2023,BMC Urology
Advanced tubal pregnancy at 34 weeks with eclampsia and HELLP syndrome: a case report and literature re,Liu Y.,2023,BMC Pregnancy and Childbirth
Effectiveness of an Interprofessional Program (Siscare) for Supporting Patients With Type 2 Diabetes,Bawab N.,2023,Diabetes Spectrum
Real-time quantification of intestinal perfusion and arterial versus venous occlusion using laser speckle contrast imaging in porcine model,Liu Y.Z.,2023,Langenbeck's Archives of Surgery
Association of apolipoprotein A1 with osteoporosis: a cross-sectional study,Sun X.,2023,BMC Musculoskeletal Disorders
Development and validation of a clinical nomogram for differentiating hemorrhagic and ischemic stroke prehospital,Ye S.,2023,BMC Neurology
Retrospective comparison of the effects of laryngeal mask and endotracheal tube on some cardio-respiratory variables in pet rabbits undergoing anaesthesia for elective gonadectomy,Bellini L.,2023,Acta Veterinaria Scandinavica
Diagnosis and treatment approaches for simultaneous onset of subarachnoid hemorrhage and thyroid storm: a case report,Ohya A.,2023,International Journal of Emergency Medicine
Fine mapping spatiotemporal mechanisms of genetic variants underlying cardiac traits and disease,D’Antonio M.,2023,Nature Communications
Effects of Intermittent Normobaric Hypoxia on Health-Related Outcomes in Healthy Older Adults: A Systematic Review,Timon R.,2023,Sports Medicine - Open
Chronic kidney disease promotes cerebral microhemorrhage formation,Fang C.,2023,Journal of Neuroinflammation
Microvascular reactivity using laser Doppler measurement in type 2 diabetes with subclinical atherosclerosis,Sun P.C.,2023,Lasers in Medical Science
Spontaneous retroperitoneal hematoma: a case report,Kurotaki T.,2023,Journal of Medical Case Reports
Non-invasive assessment of Pulse Wave Transit Time (PWTT) is a poor predictor for intraoperative fluid responsiveness: a prospective observational trial (best-PWTT study),Fukui K.,2023,BMC Anesthesiology
Genetic association analysis of rs662799 (− 1131A &gt; G) polymorphism of APOA5 gene with morphometric and physio-metric traits using multiplex PCR,Fatma R.,2023,Egyptian Journal of Medical Human Genetics
Impact of reboxetine plus oxybutynin treatment for obstructive sleep apnea on cardiovascular autonomic modulation,Perger E.,2023,Scientific Reports
11β-HSD1 inhibition in men mitigates prednisolone-induced adverse effects in a proof-of-concept randomised double-blind placebo-controlled trial,Othonos N.,2023,Nature Communications
"A randomized, double-blind trial comparing the effect of two blood pressure targets on global brain metabolism after out-of-hospital cardiac arrest",Mølstrøm S.,2023,Critical Care
Characteristics and efficacy of physical activity interventions to improve cardiometabolic and psychosocial outcomes in people living with HIV in sub-Saharan Africa: a protocol for a systematic review,Mabweazara S.,2023,Systematic Reviews
"Metabolic syndrome and thyroid Cancer: risk, prognosis, and mechanism",Li L.R.,2023,Discover Oncology
Endothelial function measured by peripheral arterial tonometry in patients with chronic myeloid leukemia on tyrosine kinase inhibitor therapy: a pilot study,Kaneko T.,2023,Cardio-Oncology
"Association of systolic, diastolic, mean, and pulse pressure with morbidity and mortality in septic ICU patients: a nationwide observational study",Khanna A.K.,2023,Annals of Intensive Care
Clinical factors associated with adverse clinical outcomes in elderly versus non-elderly COVID-19 emergency patients: a multi-center observational study,Puchongmart C.,2023,International Journal of Emergency Medicine
No signs of neurodegenerative effects in 15q11.2 BP1-BP2 copy number variant carriers in the UK Biobank,Boen R.,2023,Translational Psychiatry
Is conservative management safe in patients with acute ureterolithiasis and perirenal stranding?,Grossmann N.C.,2023,Urolithiasis
Uric acid and risk of pre-eclampsia: results from a large case–control study and meta-analysis of prospective studies,Colmenares-Mejia C.C.,2023,Scientific Reports
"Efficacy and safety of Obex® in overweight and obese subjects: a randomised, double-blind, placebo-controlled clinical trial",Cabrera-Rode E.,2023,BMC Complementary Medicine and Therapies
Neurofibromatosis-Noonan syndrome and growth deficiency in an Iranian girl due to a pathogenic variant in NF1 gene,Dalili S.,2023,Human Genomics
ER ribosomal-binding protein 1 regulates blood pressure and potassium homeostasis by modulating intracellular renin trafficking,Chiu C.H.,2023,Journal of Biomedical Science
Angiotensin converting enzyme (ACE) inhibitors activity from purified compounds Fructus Phaleria macrocarpa (Scheff) Boerl,Eff A.R.Y.,2023,BMC Complementary Medicine and Therapies
Long-term increase in fasting blood glucose is associated with increased risk of sudden cardiac arrest,Kim Y.G.,2023,Cardiovascular Diabetology
Choroid and choriocapillaris changes in early-stage Parkinson’s disease: a swept-source optical coherence tomography angiography-based cross-sectional study,Uzun S.,2023,Alzheimer's Research and Therapy
Very low-calorie ketogenic diet (VLCKD): an antihypertensive nutritional approach,Barrea L.,2023,Journal of Translational Medicine
Spinal injury with spinal ankylosing disorders as a primary cause of death: report of two cases,Miyake T.,2023,International Journal of Emergency Medicine
Usability Evaluation of Connected Health Devices in Home Monitoring: Toward Devices Adapted to the Characteristics of Informal Caregivers,Cardon C.,2023,Journal of Medical Systems
Absence of fluctuation and inverted circadian rhythm of blood pressure increase the risk of cognitive dysfunction in cerebral small vessel disease patients,Xu Y.,2023,BMC Neurology
"Echocardiographic parameters in French Bulldogs, Pugs and Boston Terriers with brachycephalic obstructive airways syndrome",Brložnik M.,2023,BMC Veterinary Research
The association of osteoporosis and geriatric syndromes in the elderly: data from the Russian epidemiological study EVKALIPT,Dudinskaya E.N.,2023,Archives of Osteoporosis
A West Nile Virus infection expressed as unilateral limb paralysis and complicated by Parsonage–Turner syndrome: a case report,Scarciglia A.,2023,Journal of Medical Case Reports
The effect of combining therapeutic drug monitoring of antihypertensive drugs with personalised feedback on adherence and resistant hypertension: the (RHYME-RCT) trial protocol of a multi-centre randomised controlled trial,Peeters L.E.J.,2023,BMC Cardiovascular Disorders
The 2022 focused update of the 2018 Korean Hypertension Society Guidelines for the management of hypertension,Kim H.L.,2023,Clinical Hypertension
Influence of systolic blood pressure trajectory on in-hospital mortality in patients with sepsis,Zhu J.L.,2023,BMC Infectious Diseases
OAGB with shortened excluded ileal loop as an effective treatment for type 2 diabetes mellitus in the cases of Caucasian men and women with obesity of the first degree (BMI 30–35 kg/m<sup>2</sup>),Jaworski P.,2023,Langenbeck's Archives of Surgery
Comparative assessment of coronary physiology using transthoracic pulsed-wave Doppler and myocardial contrast echocardiography in rats,Billig S.,2023,European Radiology Experimental
Development and perceived usability evaluation of an interactive smartphone application for the teaching of hemodynamics and evaluation of arterial pulse pressure variation,Barbosa O.A.,2023,BMC Medical Informatics and Decision Making
"Diverse associations between adiposity and blood pressure among 80,000 multi-ethnic Chinese adults",Chen J.,2023,BMC Public Health
Renal nerve stimulation identifies renal innervation and optimizes the strategy for renal denervation in canine,Liu H.,2023,Journal of Translational Medicine
