title,authors,year,source
Ethnic and gender inequalities in the prevalence of elevated blood pressure in the general population of Cochabamba: an intersectional analysis of health inequities,Ortiz Y.M.,2020,Gaceta Medica Boliviana
Gender differences in the interaction between tobacco and alcohol consumption with raised blood pressure.,Yercin M.O.,2020,Gaceta Medica Boliviana
"Treatment of pregnancy-induced hypertension compared with labetalol, low dose aspirin and placebo",Xiang X.,2020,Cellular and Molecular Biology
Profile and outcomes of hospitalized patients with COVID-19 at a tertiary institution hospital in Ghana,Ayisi-Boateng N.K.,2020,Ghana Medical Journal
Role of electrocardiographic early repolarization pattern in long-term outcomes of a community-based middle-aged and geriatric ambulatory population: a prospective cohort study,Jimmy Juang J.M.,2020,Aging
"Why some women who attend focused antenatal care fail to deliver in health facilities: A qualitative study of women's perspectives from slums of Addis Ababa, Ethiopia",Sendo E.G.,2020,BMJ Open
Impact of the 2017 ACC/AHA guideline on the prevalence of elevated blood pressure and hypertension: A cross-sectional analysis of 10 799 individuals,Alyabsi M.,2020,BMJ Open
Pre-eclampsia complicated by severe hyponatraemia,Montebello A.,2020,BMJ Case Reports
"Changes in risk factors for non-communicable diseases associated with the ‘Healthy choices at work’ programme, South Africa",Schouw D.,2020,Global Health Action
Evaluation of an integrated HIV and hypertension management model in rural south africa: a mixed methods approach,Ameh S.,2020,Global Health Action
Inherited or acquired in hypertension and chronic kidney disease in diabetes mellitus patients,Marilena S.,2020,"Romanian Journal of Diabetes, Nutrition and Metabolic Diseases"
Blood pressure and heart rate changes of 640 single dental implant surgeries,Liu X.Q.,2020,Beijing da xue xue bao. Yi xue ban = Journal of Peking University. Health sciences
Relationship between Circadian Rhythm Disorder of Blood Pressure and Ischemic Stroke,Ge J.,2020,Zhongguo yi xue ke xue yuan xue bao. Acta Academiae Medicinae Sinicae
Double-task exercise programmes to strengthen cognitive and vascular health in older adults at risk of cognitive decline: Protocol for a randomised clinical trial,Sánchez-Arenas R.,2020,BMJ Open
Exercise training modalities for heart transplant recipients: A systematic review and network meta-analysis protocol,De Lima J.B.,2020,BMJ Open
Care bundle to reduce readmission in patients with heart failure: A modified Delphi consensus panel in Argentina,Roberti J.,2020,BMJ Open
"Hypertension control in Jiading, Shanghai and its relevant factors",Hu Z.,2020,Journal of Shanghai Jiaotong University (Medical Science)
Analysis on the influencing factors of intracranial hematoma volume in acute brain trauma patients,Zhang B.,2020,Chinese Journal of Neurosurgery
Reducing cardiovascular disease risk among families with familial hypercholesterolaemia by improving diet and physical activity: A randomised controlled feasibility trial,Kinnear F.J.,2020,BMJ Open
Cardiovascular risk prediction using physical performance measures in COPD: Results from a multicentre observational study,Fermont J.M.,2020,BMJ Open
The Association of Fractional Pulse Pressure with Acute Kidney Injury in Patients Undergoing Coronary Intervention due to ST-Segment Elevated Myocardial Infarction,Burak C.,2020,Medical Principles and Practice
12-Month Results From the Unblinded Phase of the RADIANCE-HTN SOLO Trial of Ultrasound Renal Denervation,Azizi M.,2020,JACC: Cardiovascular Interventions
Transcatheter Closure of a Secundum Atrial Septal Defect in the Presence of Anomalous Pulmonary Veins,Shah A.H.,2020,JACC: Cardiovascular Interventions
Renal Denervation: The Study That Shattered its Halo,Messerli F.H.,2020,JACC: Cardiovascular Interventions
Evaluation of the effect of heat stress on cognitive performance and physiological parameters of the students,Bidel F.,2020,Iran Occupational Health
Effect of glycated hemoglobin A<inf>1c</inf> variability on diabetic kidney disease in type 2 diabetes mellitus patients,Chen X.,2020,Chinese Journal of Diabetes Mellitus
Application of biomechanical modeling and simulation in the development of non-invasive technologies and devices for cardiovascular testing,Zhang X.,2020,Sheng wu yi xue gong cheng xue za zhi = Journal of biomedical engineering = Shengwu yixue gongchengxue zazhi
Antenatal corticosteroids for accelerating fetal lung maturation for women at risk of preterm birth,McGoldrick E.,2020,Cochrane Database of Systematic Reviews
Incidence and severity of adverse events among platelet donors: A three-year retrospective study,Almutairi H.,2020,Medicine (United States)
Effects of age on the peak ratio of ophthalmic artery Doppler,Yang X.Y.,2020,Medicine (United States)
Comorbidities associated with different levels of total cholesterol in male and female acute ischemic stroke patients,Brechtel L.,2020,Medicine (United States)
A case report of endoscopic resection for the treatment of duodenal Brunner's gland adenoma with upper gastrointestinal bleeding,Liang M.,2020,Medicine (United States)
Nursing case management for people with hypertension: A randomized controlled trial protocol,Song C.,2020,Medicine (United States)
Case 40-2020: A 24-year-old man with headache and covid-19,Heller H.M.,2020,New England Journal of Medicine
Design and Implementation of a blood pressure device with high sampling frequency to analyze cardiovascular diseases in LabVIEW,Hoseinzadeh M.S.,2020,"6th Iranian Conference on Signal Processing and Intelligent Systems, ICSPIS 2020"
Predictors of atrial tachyarrhythmias in adults with congenital heart disease,Cambronero‑Cortinas E.,2020,Kardiologia Polska
Epilepsy Seizures in Spontaneously Hypertensive Rats After Acoustic Stimulation: Role of Renin–Angiotensin System,Becari C.,2020,Frontiers in Neuroscience
Association of Fibroblast Growth Factor 23 With Ischemic Stroke and Its Subtypes: A Mendelian Randomization Study,Zheng K.,2020,Frontiers in Genetics
The risk prediction of heart disease by using neuro-fuzzy and improved GOA,Dehnavi V.S.,2020,"2020 11th International Conference on Information and Knowledge Technology, IKT 2020"
Experimental and clinical justification of male orchidectomy under local anesthesia in combination with xylazine and subanesthetic doses of zoletil,Dashko D.,2020,E3S Web of Conferences
The Global Burden of Cardiovascular Diseases and Risks: A Compass for Global Action,Roth G.A.,2020,Journal of the American College of Cardiology
"Global Burden of Cardiovascular Diseases and Risk Factors, 1990-2019: Update From the GBD 2019 Study",Roth G.A.,2020,Journal of the American College of Cardiology
"Comparison of cardiovascular disease risk factors, assessment and management in men and women, including consideration of absolute risk: A nationally representative cross-sectional study",Banks E.,2020,BMJ Open
Intracranial hemorrhage with direct oral anticoagulants in patients with brain metastases,Leader A.,2020,Blood Advances
Effects of BMI and LDL-cholesterol change pattern on cardiovascular disease in normal adults and diabetics,Youk T.M.,2020,BMJ Open Diabetes Research and Care
