title,authors,year,source
Predictive value of gut microbiota in long-term blood pressure control: a cross-sectional study,Kang G.,2023,European Journal of Medical Research
Parity and hypertension risk in couples: does number of parity matter: findings from Tehran Lipid and Glucose Study,Rahmati M.,2023,BMC Public Health
Paraurethral leiomyoma in a post-menopausal woman: a case report,Brodie A.,2023,African Journal of Urology
Comorbidity-stratified estimates of 30-day mortality risk by age for unvaccinated men and women with COVID-19: a population-based cohort study,Abdel-Qadir H.,2023,BMC Public Health
Circ-Ntrk2 acts as a miR-296-5p sponge to activate the TGF-β1/p38 MAPK pathway and promote pulmonary hypertension and vascular remodelling,Su L.,2023,Respiratory Research
Correlation of asprosin and Nrg-4 with type 2 diabetes Mellitus Complicated with Coronary Heart Disease and the Diagnostic Value,Zhong M.,2023,BMC Endocrine Disorders
The association between tea consumption and blood pressure in the adult population in Southwest China,Zhao Y.,2023,BMC Public Health
Intraocular nano-microscale drug delivery systems for glaucoma treatment: design strategies and recent progress,Shen Y.,2023,Journal of Nanobiotechnology
Lactation duration and lifetime progression to metabolic syndrome in women according to their history of gestational diabetes: a prospective longitudinal community-based cohort study,Farahmand M.,2023,Journal of Translational Medicine
An intronic variant in TBX4 in a single family with variable and severe pulmonary manifestations,Flanagan F.O.,2023,npj Genomic Medicine
"Safety, Feasibility, and Acceptability of Telemedicine for Hypertension in Primary Care: A Proof-of-concept and Pilot Randomized Controlled Trial (SATE-HT)",Wang S.,2023,Journal of Medical Systems
A 50-year-old refugee woman with a lithopedion and a lifetime of trauma: a case report,Sous W.,2023,BMC Women's Health
Comparison of early surgical and conservative therapy in children with ureteropelvic junction obstruction,Sadghian M.,2023,Pediatric Surgery International
Hidden colon adenocarcinoma diagnosed from mouth metastasis: case report and literature review,de Almeida Lança M.L.,2023,World Journal of Surgical Oncology
Treatment rates and healthcare costs of patients with fragility fracture by site of care: a real-world data analysis,Singer A.,2023,Archives of Osteoporosis
Clinical characteristics and sequelae of intrapartum hypertension – a retrospective cohort study,Rajkumar T.,2023,BMC Pregnancy and Childbirth
Relationship between novel anthropometric indices and the incidence of hypertension in Chinese individuals: a prospective cohort study based on the CHNS from 1993 to 2015,Zhang X.,2023,BMC Public Health
A machine learning analysis of correlates of mortality among patients hospitalized with COVID-19,Baker T.B.,2023,Scientific Reports
Genetic variation in salt taste receptors impact salt intake and blood pressure,Mohammadifard N.,2023,Scientific Reports
Effect of olmesartan and amlodipine on serum angiotensin-(1–7) levels and kidney and vascular function in patients with type 2 diabetes and hypertension,Kim K.,2023,Diabetology and Metabolic Syndrome
Use of ramucirumab for various treatment lines in real-world practice of patients with advanced hepatocellular carcinoma,Kanogawa N.,2023,BMC Gastroenterology
Management of PDA device closure complicated by severe hemolysis by transcatheter retrieval and deployment of new device,Rashid A.,2023,Egyptian Heart Journal
Proteomics of high-density lipoprotein subfractions and subclinical atherosclerosis in type 1 diabetes mellitus: a case–control study,Toyoshima M.T.K.,2023,Diabetology and Metabolic Syndrome
Association between very advanced maternal age women with gestational diabetes mellitus and the risks of adverse infant outcomes: a cohort study from the NVSS 2014–2019,Lu L.,2023,BMC Pregnancy and Childbirth
Central retinal microvasculature damage is associated with orthostatic hypotension in Parkinson’s disease,Ahn J.H.,2023,npj Parkinson's Disease
Association of accelerometer-derived circadian abnormalities and genetic risk with incidence of atrial fibrillation,Yang L.,2023,npj Digital Medicine
Weight-dependent and weight-independent effects of dulaglutide on blood pressure in patients with type 2 diabetes,Ferdinand K.C.,2023,Cardiovascular Diabetology
Evaluation of early arterial wall lesions by elastography parameters in spontaneously hypertensive rats,Liu J.,2023,BMC Cardiovascular Disorders
A 14-year-old boy with multiple trauma and bilateral basal ganglia hemorrhage due to coronavirus disease 2019: a case report,Asadi P.,2023,Journal of Medical Case Reports
Associations of genetic markers of diabetes mellitus with carotid atherosclerosis: a community-based case–control study,Wu T.W.,2023,Cardiovascular Diabetology
Changes in maternal heart rate in delayed post-partum preeclampsia,Ravid D.,2023,BMC Women's Health
Hypochromic red cells as a prognostic indicator of survival among patients with systemic sclerosis screened for pulmonary hypertension,Xanthouli P.,2023,Arthritis Research and Therapy
Association between sedentary behavior and depression in US adults with chronic kidney disease: NHANES 2007–2018,Liu L.,2023,BMC Psychiatry
Independent and interactive effect of type 2 diabetes and hypertension on memory functions in middle aged adults,Kálcza Jánosi K.,2023,BMC Endocrine Disorders
Spontaneous skull base cerebrospinal fluid leak during pregnancy: a case report and review of the literature,Michelle L.,2023,BMC Pregnancy and Childbirth
Association of normal-weight central obesity with hypertension: a cross-sectional study from the China health and nutrition survey,Ren H.,2023,BMC Cardiovascular Disorders
The ratio of TAPSE to PASP predicts prognosis in lung transplant candidates with pulmonary arterial hypertension,Ishii S.,2023,Scientific Reports
Epigenome-wide association study in Chinese monozygotic twins identifies DNA methylation loci associated with blood pressure,Wang W.,2023,Clinical Epigenetics
Undiagnosed hypertension and its determinants among hypertensive patients in rural districts of northwest Ethiopia: a mediation analysis,Teshome D.F.,2023,BMC Health Services Research
Advanced tubal pregnancy at 34 weeks with eclampsia and HELLP syndrome: a case report and literature re,Liu Y.,2023,BMC Pregnancy and Childbirth
A transparent artificial intelligence framework to assess lung disease in pulmonary hypertension,Mamalakis M.,2023,Scientific Reports
Emerging phagocytosis checkpoints in cancer immunotherapy,Liu Y.,2023,Signal Transduction and Targeted Therapy
Association between obstructive sleep apnea and 24-h urine chemistry risk factors for urinary stone disease,Tallman J.E.,2023,Urolithiasis
"Sintilimab Plus Apatinib and Chemotherapy as Second‑/Third-Line treatment for Advanced Gastric or Gastroesophageal Junction Adenocarcinoma: a prospective, Single-Arm, phase II trial",Zhang L.,2023,BMC Cancer
Health Extension for Diabetes: Impact of a Community-Based Diabetes Self-Management Support Program on Older Adults’ Activation,Dietz C.J.,2023,Diabetes Spectrum
Personalized hypertension treatment recommendations by a data-driven model,Hu Y.,2023,BMC Medical Informatics and Decision Making
Development of a Risk Score for AKI onset in COVID-19 Patients: COV-AKI Score,Palomba H.,2023,BMC Nephrology
Multi-algorithms analysis for pre-treatment prediction of response to transarterial chemoembolization in hepatocellular carcinoma on multiphase MRI,Chen M.,2023,Insights into Imaging
Clinical significance of obstructive sleep apnea in patients with acute coronary syndrome with or without prior stroke: a prospective cohort study,Wang B.,2023,European Journal of Medical Research
Idiopathic non-cirrhotic portal hypertension in a patient with Talaromyces marneffei infection: a case report,Ye X.,2023,BMC Infectious Diseases
"Individual and area-level socioeconomic correlates of hypertension prevalence, awareness, treatment, and control in uMgungundlovu, KwaZulu-Natal, South Africa",Madela S.,2023,BMC Public Health
Association of apolipoprotein A1 with osteoporosis: a cross-sectional study,Sun X.,2023,BMC Musculoskeletal Disorders
Development and validation of a clinical nomogram for differentiating hemorrhagic and ischemic stroke prehospital,Ye S.,2023,BMC Neurology
Surgery-related anxiety on geriatric patients undergoing total knee arthroplasty: a retrospective observational study,Jung K.H.,2023,BMC Musculoskeletal Disorders
Treatment of bilateral Wilms’ tumor in children: how to improve the application of nephron-sparing surgery,Fang Y.W.,2023,Pediatric Surgery International
Effect of long-term antihypertensive treatment on cerebrovascular structure and function in hypertensive rats,Naessens D.M.P.,2023,Scientific Reports
COVID-19 versus applied infection control policies in a Major Transplant Center in Iran,Shafiekhani M.,2023,Cost Effectiveness and Resource Allocation
Prevalence of QT prolongation and its risk factors in patients with type 2 diabetes,Aburisheh K.,2023,BMC Endocrine Disorders
Case report: malignant hypertension associated with catecholamine excess in a patient with Leigh syndrome,Solis A.,2023,Clinical Hypertension
"Efficacy and safety of angiogenesis inhibitors plus immune checkpoint inhibitors in advanced soft tissue sarcoma: a real-world, single-center study",Liu Z.,2023,Scientific Reports
Risk factors of preoperative myocardial injury in patients with gastrointestinal tumors,Yu S.,2023,BMC Cardiovascular Disorders
Telepharmacy during home isolation: drug-related problems and pharmaceutical care in COVID-19 patients receiving antiviral therapy in Thailand,Sungsana W.,2023,Journal of Pharmaceutical Policy and Practice
Assessment of risk factors and establishment of a nomogram model to predict early high-output ileostomy,Chen Y.,2023,Langenbeck's Archives of Surgery
You gotta walk the walk to talk the talk: protocol for a feasibility study of the Happy Older Latino Adults (HOLA) health promotion intervention for older HIV-positive Latino men,Jimenez D.E.,2023,Pilot and Feasibility Studies
Esketamine combined with pregabalin on acute postoperative pain in patients undergoing resection of spinal neoplasms: study protocol for a randomized controlled trial,Sun W.,2023,Trials
"Factors associated with clinically apparent congenital urethra anomalies among pediatric patients attending Muhimbili National Hospital, Dar Es Salaam, Tanzania",Kahuruta J.J.,2023,African Journal of Urology
Microvascular reactivity using laser Doppler measurement in type 2 diabetes with subclinical atherosclerosis,Sun P.C.,2023,Lasers in Medical Science
Public stroke awareness among Gharbia governorate inhabitants: a cross-sectional study,Elhassanien M.E.M.,2023,"Egyptian Journal of Neurology, Psychiatry and Neurosurgery"
Spontaneous retroperitoneal hematoma: a case report,Kurotaki T.,2023,Journal of Medical Case Reports
Mutations in the alternative complement pathway in multiple myeloma patients with carfilzomib-induced thrombotic microangiopathy,Moscvin M.,2023,Blood Cancer Journal
The applicability research of the diagnostic criteria for 10.2 Heamodialysis-related headache in the international classification of headache disorders-3<sup>rd</sup> edition,Yang Y.,2023,Journal of Headache and Pain
Risk factors for early neurologic deterioration in single small subcortical infarction without carrier artery stenosis: predictors at the early stage,Jin D.,2023,BMC Neurology
Sepsis following acute pyelonephritis caused by Trueperella bernardiae: a case report and literature review,Matsuhisa Y.,2023,BMC Infectious Diseases
"Efficacy and safety of iruplinalkib (WX-0593) in ALK-positive crizotinib-resistant advanced non-small cell lung cancer patients: a single-arm, multicenter phase II study (INTELLECT)",Shi Y.,2023,BMC Medicine
Elevated free interleukin-18 associated with severity and mortality in prospective cohort study of 206 hospitalised COVID-19 patients,Nasser S.M.T.,2023,Intensive Care Medicine Experimental
Serum γ-glutamyltransferase level and incidence risk of metabolic syndrome in community dwelling adults: longitudinal findings over 12 years,Kwak J.,2023,Diabetology and Metabolic Syndrome
Risk of cardiometabolic outcomes among women with a history of pelvic inflammatory disease: a retrospective matched cohort study from the UK,Okoth K.,2023,BMC Women's Health
