title,authors,year,source
Sleep duration and cardiovascular risk: Results of the large-scale epidemiology study ESSE-RF,Bochkarev M.,2019,Arterial Hypertension (Poland)
The inappropriateness of left ventricular mass and echoreflectivity in males with essential hypertension and different CYP11B2 gene polymorphisms,Lozinska M.,2019,Arterial Hypertension (Poland)
Effect of short-term physical exercise on serum markers of skeletal muscle damage in hypertensive patients treated with a combination of statin and angiotensin-converting enzyme inhibitor,Deska P.,2019,Arterial Hypertension (Poland)
Cancer survivorship and subclinical myocardial damage,Florido R.,2019,American Journal of Epidemiology
"Hypertension awareness, treatment, and control in US Adults: Trends in the hypertension control cascade by population subgroup (National Health and Nutrition Examination Survey, 1999-2016)",Foti K.,2019,American Journal of Epidemiology
Predictors of unfavourable outcome in aneurysmal subarachnoid haemorrhage,Nastasovic T.,2019,Neurologia i Neurochirurgia Polska
"Effect of pregnancy induced hypertension on adverse perinatal outcomes in Tigray regional state, Ethiopia: A prospective cohort study",Berhe A.K.,2019,BMC Pregnancy and Childbirth
Decompressive craniectomy for the treatment of high intracranial pressure in closed traumatic brain injury,Sahuquillo J.,2019,Cochrane Database of Systematic Reviews
Early and mid-term outcome of CABG surgery in diabetic and non-diabetic patients in a tertiary care hospital in Bangladesh,Rahman M.M.,2019,Bangladesh Medical Research Council Bulletin
The role of serial NT-proBNP level in prognosis and follow-up treatment of acute heart failure after coronary artery bypass graft surgery,Thanh B.D.,2019,Open Access Macedonian Journal of Medical Sciences
Dry eyes status on des scale and related factors in outpatients at Vietnam national institute of ophthalmology,van Anh B.T.,2019,Open Access Macedonian Journal of Medical Sciences
Survey of potentially inappropriate medications of elderly inpatients in pneumology department,Yuan L.P.,2019,Chinese Journal of New Drugs
Timing of delivery in women with pre-pregnancy diabetes mellitus: A population-based study,Brown M.,2019,BMJ Open Diabetes Research and Care
Occurrence of paratesticular ganglioneuroma 18 years after concurrent adrenal ganglioneuroma and papillary thyroid carcinoma - A case report,Fang C.W.,2019,BMC Cancer
Exploring patient experiences with and attitudes towards hypertension at a private hospital in Uganda: A qualitative study,Lynch H.M.,2019,International Journal for Equity in Health
MicroRNA-204 as an indicator of severity of pulmonary hypertension in children with congenital heart disease complicated with pulmonary hypertension,Li X.,2019,Medical Science Monitor
A novel method detecting the key clinic factors of portal vein system thrombosis of splenectomy &amp; cardia devascularization patients for cirrhosis &amp; portal hypertension,Wang M.,2019,BMC Bioinformatics
Comprehensive evaluation of effects and safety of statin on the progression of liver cirrhosis: A systematic review and meta-analysis,Gu Y.,2019,BMC Gastroenterology
"Pseudo-Wellens syndrome, acute pancreatitis, and an anomalous coronary artery: A case report",Effoe V.S.,2019,Journal of Medical Case Reports
Hypertonic saline versus other intracranial pressure–lowering agents for people with acute traumatic brain injury,Chen H.,2019,Cochrane Database of Systematic Reviews
Delusional parasitosis in dementia with Lewy bodies: A case report,Ochiai S.,2019,Annals of General Psychiatry
"Preoperative platelet count, preoperative hemoglobin concentration and deep hypothermic circulatory arrest duration are risk factors for acute kidney injury after pulmonary endarterectomy: A retrospective cohort study",Zhang C.,2019,Journal of Cardiothoracic Surgery
Individualized dynamic prediction of survival with the presence of intermediate events,Papageorgiou G.,2019,Statistics in Medicine
Incidence of stroke and mortality in Chinese patients with sleep-breathing disorders: A Clinical Population-Based (CPB) study,Hu T.,2019,Medical Science Monitor
Signet-ring cell adenocarcinoma of unknown primary presenting with superior vena cava (SVC) syndrome: Rare type of cancer,Larrazabal R.B.,2019,BMJ Case Reports
