title,authors,year,source
A study of diagnostic parameters in assessment of metabolic syndrome (MetS) among medical students,Begum G.S.,2022,Biomedicine (India)
"Effect of exercise, relaxation, and ergonomics on physiological stress indicators-An experimental study on teachers",Vaishnavi G.,2022,Biomedicine (India)
Descriptive analysis of sleep quality and its determinants among rural population of coastal Karnataka,Sivanesan S.,2022,Indian Journal of Community Health
Sirtuin 1 aggravates hypertrophic heart failure caused by pressure overload via shifting energy metabolism,Van Le T.N.,2022,Biochemical and Biophysical Research Communications
Antihypertensive and Cardioprotective Effects of Salvia officinalis (Sage) Leaf in N<sup>G</sup>-Nitro-L-Arginine Methyl Ester (L-NAME) Induced-Hypertensive Wistar Rats,Mokogwu A.T.H.,2022,Tropical Journal of Natural Product Research
Stent graft placement in anterior tibial artery pseudoaneurysm in a patient with type I neurofibromatosis A case report,Woo J.,2022,Medicine (United States)
Comparative study of fractional flow reserve and diastolic pressure ratio using a guidewire with a sensor for measuring intravascular pressure,Kojima H.,2022,Medicine (United States)
"Effects of light music played by piano intervention on satisfaction, anxiety, and pain in patients undergoing colonoscopy A randomized controlled trial",Sun D.J.,2022,Medicine (United States)
Total thyroidectomy for giant nodular goiter guided by pre-operative 3D computed tomography reconstruction and 3D printing A case report,Zhang J.,2022,Medicine (United States)
Effect of preoperative tropisetron treatment on postoperative cognitive function A retrospective cohort study,Zhang D.,2022,Medicine (United States)
EFFECTIVENESS OF LIRAGLUTIDE IN REDUCING BODY WEIGHT AND IMPROVING GLYCEMIC CONTROL IN PATIENTS WITH T2DM,Ullah S.,2022,Journal of Medical Sciences (Peshawar)
Effect of Tocilizumab Use on Mortality in COVID-19 Patients Admitted to Intensive Care Unit,Tosun M.,2022,Duzce Medical Journal
An empirical study of modified beat SQI based majority voting fusion method for heart-rate estimation in noisy multimodal cardiovascular signals,Rankawat S.A.,2022,Physiological Measurement
Worst spasticity in patients post-stroke associated with MNSOD ALA16VAL polymorphism and interleukin-1β,Flores A.E.,2022,Gene
