title,authors,year,source
THE USE OF FLUID-FILLED CATHETERS AS REFERENCE BLOOD PRESSURE MONITORS,Mikhailov Y.,2021,Lekar a Technika
Diagnostic and prognostic potential of kallistatin in assessment of liver parenchyma changes in patients with non-Alcoholic fatty liver disease and hypertension kallistatin in patients with NAFLD and hypertension,Zhelezniakova N.M.,2021,IMAGING
Added predictive value of right ventricular ejection fraction compared with conventional echocardiographic measurements in patients who underwent diverse cardiovascular procedures,Tolvaj M.,2021,IMAGING
COMPARISON OF HAEMODYNAMIC STABILITY WITH 0.5% AND 0.75% HYPERBARIC BUPIVACAINE DURING SPINAL ANAESTHESIA IN WOMEN UNDERGOING CAESAREAN SECTION,Iftikhar H.,2021,Pakistan Armed Forces Medical Journal
Stroke volume and cardiac output non-invasive monitoring based on brachial oscillometry-derived pulse contour analysis: Explanatory variables and reference intervals throughout life (3–88 years),Zócalo Y.,2021,Cardiology Journal
Selected matrix metalloproteinases activity and hypertension-mediated organ damage in relation to uric acid serum level,Gruszka K.,2021,Cardiology Journal
Significance of initial hemoglobin levels in severe trauma patients without prehospital fluid administration: A single-center study in Japan,Kawai Y.,2021,Trauma Surgery and Acute Care Open
Preliminary Studies on the Antihypertensive Effect of Polyphenols from Aronia Melanocarpa Based on Intestinal Flora,Chen X.,2021,Journal of Chinese Institute of Food Science and Technology
MODIFIED INTRAVENOUS REGIONAL ANAESTHESIA FOR MANAGEMENT OF CLAW DISEASES IN BUFFALO,Singh Y.,2021,Buffalo Bulletin
Bortezomib-Induced Perimyocarditis in a Multiple Myeloma Patient: A Case Report,Alali Y.,2021,Case Reports in Oncology
Tumour necrosis factor alpha (TNFα) and alpha-Klotho (aKL) in children and adolescents with chronic kidney disease (CKD),Gamrot Z.,2021,Endokrynologia Polska
Impact of stress and hypertension on the cerebrovasculature,Elsaid N.,2021,Frontiers in Bioscience - Landmark
Association between intra-operative hemodynamic changes and corrective procedures during posterior spinal fusion in adolescent patients with scoliosis A case-control study,Wada K.,2021,Medicine (United States)
Impact of retinal vein occlusion on cardiovascular events in elderly Japanese patients,Umeya R.,2021,Medicine (United States)
Syndrome of inappropriate secretion of thyroid-stimulating hormone in a subject with galactorrhea and menstrual disorder and undergoing infertility treatment Case report,Kaneto H.,2021,Medicine (United States)
Cohort profile: Copenhagen Hospital Biobank - Cardiovascular Disease Cohort (CHB-CVDC): Construction of a large-scale genetic cohort to facilitate a better understanding of heart diseases,Laursen I.H.,2021,BMJ Open
"Phase 2 trial design of BMS-986278, a lysophosphatidic acid receptor 1 (LPA 1) antagonist, in patients with idiopathic pulmonary fibrosis (IPF) or progressive fibrotic interstitial lung disease (PF-ILD)",Corte T.J.,2021,BMJ Open Respiratory Research
Socioeconomic status and risk factors for complications in young people with type 1 or type 2 diabetes: A cross-sectional study,Wijayaratna S.,2021,BMJ Open Diabetes Research and Care
Pseudo myocardial infarction due to postoperative ileus,Judenherc Haouzi A.,2021,BMJ Case Reports
Systemic lupus erythematosus presenting with lymphoid interstitial pneumonia as an initial manifestation,Maeda A.,2021,BMJ Case Reports
Determination of Brain Death,Greer D.M.,2021,New England Journal of Medicine
Chlorthalidone in Advanced Chronic Kidney Disease — Have We Missed a Trick?,Wheeler D.C.,2021,New England Journal of Medicine
Trial of Intensive Blood-Pressure Control in Older Patients with Hypertension,Osawa S.,2021,New England Journal of Medicine
"Grape bioactive molecules, and the potential health benefits in reducing the risk of heart diseases",Sabra A.,2021,Food Chemistry: X
Insulin resistance and metabolic syndrome in Iraqi patients with alopecia areata,Dakhil A.S.,2021,Journal of Pakistan Association of Dermatologists
Carotid artery intima-media thickness in psoriatic patients and its relation to severity and duration of the disease,Mahmud H.,2021,Journal of Pakistan Association of Dermatologists
Chlorthalidone for hypertension in advanced chronic kidney disease,Agarwal R.,2021,New England Journal of Medicine
Intravascular ultrasound with blood flow visualization to detect pseudo intimal graft dissection as a cause of left ventricular assist device outflow graft stenosis,Kalińczuk Ł.,2021,Kardiologia Polska
Association between Area-Level Socioeconomic Deprivation and Diabetes Care Quality in US Primary Care Practices,Kurani S.S.,2021,JAMA Network Open
"Diabetic Retinopathy, Visual Impairment, and the Risk of Six-Year Death: A Cohort Study of a Rural Population in China",Cao K.,2021,Ophthalmic Research
Assessing the risk of ketoacidosis due to sodium-glucose cotransporter (SGLT)-2 inhibitors in patients with type 1 diabetes: A meta-analysis and meta-regression,Musso G.,2021,PLoS Medicine
Is relaxation exercise therapy effective in the management of patients with severe arterial hypertension?,Lebedeva O.D.,2021,European Journal of Translational Myology
Mechanism of Chuanzhi Tongluo Capsules on microcirculation disturbance based on network pharmacology and molecular docking,Mou Y.F.,2021,Chinese Traditional and Herbal Drugs
Decreasing hyaluronic acid combined with drug-loaded nanoprobes improve the delivery and efficacy of chemotherapeutic drugs for pancreatic cancer,Fan Y.F.,2021,Cancer Letters
"Successful Response to Cyclophosphamide, Vincristine, and Dacarbazine Chemotherapy in a Patient with Metastatic Carotid Body Paraganglioma",Yamada H.,2021,Case Reports in Oncology
Atrial Septostomy for Left Ventricular Unloading During Extracorporeal Membrane Oxygenation for Cardiogenic Shock: Animal Model,Mlcek M.,2021,JACC: Cardiovascular Interventions
"Association of retinol binding protein- 4 (RBP4) with glycemia, dyslipidemia, hypertension, and obesity in type 2 diabetic Iraqi patients",Jabbar T.L.,2021,Iraqi Journal of Pharmaceutical Sciences
Diagnostic value of acyl-ghrelin in type 2 diabetic patients with non-alcoholic fatty liver disease,Youssef E.M.,2021,Open Access Macedonian Journal of Medical Sciences
Cystatin and glomerular filtration rate in obese versus non-obese adolescents,El-Shaheed A.A.,2021,Open Access Macedonian Journal of Medical Sciences
Diaphragmatic function assessed by bed side ultrasonography in patients with sepsis or septic shock admitted to intensive care unit,Zaki A.,2021,Open Access Macedonian Journal of Medical Sciences
Plasma levels of interleukin-6 and the cluster of differentiation 4/cluster of differentiation 8 ratio in frailty among community-dwelling older people,Sunarti S.,2021,Open Access Macedonian Journal of Medical Sciences
Impact of anemia in pregnant women on the neonatal conditions,Aringazina R.,2021,Open Access Macedonian Journal of Medical Sciences
Study of the incidence of some chronic diseases among patients with long-term physical disabilities,Todorova S.,2021,Open Access Macedonian Journal of Medical Sciences
Use of lung ultrasound for assessment of lung recruitment maneuvers in patients with ards,Radwan W.A.,2021,Open Access Macedonian Journal of Medical Sciences
Association of plasminogen activator inhibitor-1 and cardiovascular events development in patients with prediabetes,Laryushina Y.,2021,Open Access Macedonian Journal of Medical Sciences
A preliminary scoring model to predict in-hospital mortality risk for geriatric patients with delirium,Astika N.,2021,Open Access Macedonian Journal of Medical Sciences
Altered carcinoembryonic antigen-related cell adhesion molecule 1/T-Cell immunoglobulin mucin-3 signaling causes the dysregulation of decidual CD8+T cells in the third trimester during preeclamptic pregnancies,Chen C.Q.,2021,Reproductive and Developmental Medicine
Early changes of cerebral hemodynamics and perioperative events after carotid endarterectomy and carotid artery stenting in patients with unilateral symptomatic carotid artery stenosis,Wang W.X.,2021,Chinese Journal of Contemporary Neurology and Neurosurgery
Effect of Oral Hydration on Contrast-Induced Acute Kidney Injury among Patients after Primary Percutaneous Coronary Intervention,Xie W.,2021,CardioRenal Medicine
"Acute effect of fine particulate matter on blood pressure, heart rate and related inflammation biomarkers: A panel study in healthy adults",Li Z.,2021,Ecotoxicology and Environmental Safety
Association between CD137 and ischemia-reperfusion injury in patients with acute ST-segment elevation myocardial infarction,Pan Y.,2021,Chinese Journal of Cardiology
Serum Sodium Concentration and Increased Risk for Primary Epiretinal Membrane,Xue C.C.,2021,Frontiers in Medicine
"Puberty Status Modifies the Effects of Genetic Variants, Lifestyle Factors and Their Interactions on Adiponectin: The BCAMS Study",Wu Y.,2021,Frontiers in Endocrinology
The Alternative Complement Pathway Is Activated Without a Corresponding Terminal Pathway Activation in Patients With Heart Failure,Holt M.F.,2021,Frontiers in Immunology
Association Between Bedtime at Night and Systolic Blood Pressure in Adults in NHANES,Su Y.,2021,Frontiers in Medicine
Case Report: Takotsubo Cardiomyopathy in Bickerstaff Brainstem Encephalitis Triggered by COVID-19,Kimura M.,2021,Frontiers in Neurology
Application of machine learning techniques to understand ethnic differences and risk factors for incident chronic kidney disease in Asians,Lim C.C.,2021,BMJ Open Diabetes Research and Care
The hemodynamic effects of diazepam versus dexmedetomidine in the treatment of alcohol withdrawal syndrome: A randomized clinical trial,García-Méndez N.,2021,Medicina Clinica
Salt Substitute and Cardiovascular Events and Death,Morita H.,2021,The New England journal of medicine
Salt Substitute and Cardiovascular Events and Death. Reply,Neal B.,2021,The New England journal of medicine
Salt Substitute and Cardiovascular Events and Death,Bursztyn M.,2021,The New England journal of medicine
Salt Substitute and Cardiovascular Events and Death,Zuccalà G.,2021,The New England journal of medicine
COX-2/sEH Dual Inhibitor PTUPB Alleviates CCl<inf>4</inf>-Induced Liver Fibrosis and Portal Hypertension,Zhao Z.,2021,Frontiers in Medicine
The association between EKG abnormalities and the development of microalbuminuria in type 2 diabetes,Chang Y.K.,2021,Medicine (United States)
Case Report: A Novel Genetic Mutation Causes Idiopathic Infantile Arterial Calcification in Preterm Infants,Yunfeng L.,2021,Frontiers in Genetics
Effect of amlodipine versus bisoprolol in hypertensive patients on maintenance hemodialysis: A randomized controlled trial,Youssef A.M.,2021,Medicine (United States)
Association between thyroid hormone and components of metabolic syndrome in euthyroid Korean adults: A population-based study,Shin K.A.,2021,Medicine (United States)
Urinary Soluble CD163 Levels Predict IgA Nephropathy Remission Status,Gong S.,2021,Frontiers in Immunology
